user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
Berapa kisaran kenaikan berat badan ibu selama masa kehamilan 9 bulan?,"['Kehamilan - Nutrisi\n                Kategori: kehamilan\n                Sub: kehamilan_nutrisi\n                Isi: Kehamilan adalah masa menyenangkan dalam\nkehidupan seorang ibu yang menantikan\nkehadiran buah hatinya.\nYANG AKAN DIALAMI\nSelama masa kehamilan 9 bulan, Ibu akan naik\nberat badannya sebanyak 5 – 18 kg sesuai\ndengan status gizi ibu sebelum hamil (lihat\nhalaman 108).\nBayi dalam kandungan juga akan berk', 'Kehamilan - Nutrisi\n                Kategori: kehamilan\n                Sub: kehamilan_nutrisi\n                Isi: Ibu Tiap Trimester dapat\ndilihat pada Lampiran 11). Perhitungan ini\nberdasarkan perkiraan tambahan energi sebesar\n80.000 kalori yang dibutuhkan untuk mendukung\nkehamilan 9 bulan penuh yang tidak hanya\nmeningkakan metabolisme Ibu dan janin, namun\njuga untuk mendukung pertumbuhan janin dan\nplasenta. N', 'Kehamilan - Nutrisi\n                Kategori: kehamilan\n                Sub: kehamilan_nutrisi\n                Isi: l yang lebih besar dibandingkan dengan ibu dengan\nberat badan normal.\n[HALAMAN 74]\n61\n- Ibu yang sebelum kehamilannya mempunyai status gizi\nlebih (kegemukan) berdasarkan IMT-nya, kenaikan berat\nbadan selama kehamilannya lebih kecil dibandingkan ibu\nkurus atau normal, yaitu 0.3 kg/ minggu bila ibu ha']","Berdasarkan informasi sumber yang diberikan, kisaran kenaikan berat badan ibu selama masa kehamilan 9 bulan adalah **5 – 18 kg**, sesuai dengan status gizi ibu sebelum hamil.",Ibu akan naik berat badannya sebanyak 5 – 18 kg sesuai dengan status gizi ibu sebelum hamil.,1.0,0.9111587088253613,1.0,0.9999999999
Apa yang dimaksud dengan 1000 Hari Pertama Kehidupan (1000 HPK)?,"['Kehamilan - Umum\n                Kategori: kehamilan\n                Sub: kehamilan_umum\n                Isi: t! Anda kini siap memasuki tahapan baru dalam\nkehidupan, menjadi Ibu.\n[HALAMAN 4]\nSeribu hari pertama kehidupan (1000 HPK) adalah masa paling penting dalam pertumbuhan dan\nperkembangan anak. Masa ini terdiri dari 270 hari selama bayi berada dalam kandungan ibu, dan 730\nhari atau dua tahun pertama ke', 'Kehamilan - Umum\n                Kategori: kehamilan\n                Sub: kehamilan_umum\n                Isi: dungan ibu, dan 730\nhari atau dua tahun pertama kehidupan anak setelah dilahirkan.\nMasa 1000 HPK sangat penting, karena anak akan mengalami pertumbuhan dan perkembangan yang\nsangat pesat dan berdampak pada kualitas kesehatannya di masa akan datang. Saat bayi berada\ndalam kandungan adalah masa pemben', 'Kehamilan - Nutrisi\n                Kategori: kehamilan\n                Sub: kehamilan_nutrisi\n                Isi: Periode pra-kehamilan dan kehamilan harus\ndisiapkan dengan baik, hal ini tertuang dalam arah\nkebijakan\nRPJMN\n2020-2024\nyaitu\nmempercepat\nperbaikan gizi masyarakat dengan fokus utama pada\n1000 Hari Pertama Kehidupan (1000 HPK). Status gizi\ndan kesehatan ibu selama hamil akan berpengaruh\nterhadap tumb']","Berdasarkan informasi sumber di atas, berikut adalah penjelasan mengenai 1000 Hari Pertama Kehidupan (1000 HPK):

1000 Hari Pertama Kehidupan (1000 HPK) adalah masa paling penting dalam pertumbuhan dan perkembangan anak. Masa ini terdiri dari:
*   270 hari selama bayi berada dalam kandungan ibu.
*   730 hari atau dua tahun pertama kehidupan anak setelah dilahirkan.","Seribu hari pertama kehidupan (1000 HPK) adalah masa paling penting dalam pertumbuhan dan perkembangan anak. Masa ini terdiri dari 270 hari selama bayi berada dalam kandungan ibu, dan 730 hari atau dua tahun pertama kehidupan anak setelah dilahirkan.",1.0,0.9077418302618246,1.0,0.99999999995
Berapa persen perkembangan otak anak saat lahir?,"['Kehamilan - Umum\n                Kategori: kehamilan\n                Sub: kehamilan_umum\n                Isi: aat bayi berada\ndalam kandungan adalah masa pembentukan dan perkembangan organ-organ tubuh penting, seperti\notak, jantung, hati, ginjal, paru-paru, dan tulang. Perkembangan ini berlanjut setelah bayi dilahirkan\nhingga dua tahun setelah kelahiran.\nMasa ini juga merupakan puncak perkembangan otak dan', 'Bayi 0-6 Bulan - Perkembangan\n                Kategori: bayi_0_6_bulan\n                Sub: bayi_perkembangan\n                Isi: Perawatan Bayi Umur 29 Hari - 3 Bulan(Diisi oleh ibu)\nNo.\nPenanda Perkembangan Anak\nYa\nTidak\n1\nBayi bisa mengangkat kepala mandiri hingga setinggi 45 derajat?\n2\nBayi bisa menggerakkan kepala dari kiri/kanan ke tengah?\n3\nBayi bisa melihat dan menatap wajah anda?\n4\nBayi bisa mengoceh spontan atau bere', 'Kehamilan - Umum\n                Kategori: kehamilan\n                Sub: kehamilan_umum\n                Isi: lai dari\npanjang 0.64 cm atau kira-kira sebesar biji\nberas, hingga 10 cm dan berat sekitar 28\ngram atau kira-kira sebesar jeruk nipis.\n- Bagian tubuh bayi, termasuk otak,\nmulai terbentuk.']","Berdasarkan informasi sumber yang tersedia, tidak ada informasi mengenai persentase perkembangan otak anak saat lahir.

Informasi sumber menyebutkan bahwa masa kehamilan adalah masa pembentukan dan perkembangan organ-organ tubuh penting, termasuk otak, dan masa ini merupakan puncak perkembangan otak.",25% Saat Lahir.,0.75,0.9458669662720463,0.0,0.0
Apa yang harus dilakukan jika ibu terlambat datang bulan 1 minggu?,"['Kehamilan - Nutrisi\n                Kategori: kehamilan\n                Sub: kehamilan_nutrisi\n                Isi: - Segera periksa ke fasilitas pelayanan kesehatan,\njika terlambat datang bulan 1 minggu.\n- Periksa kehamilan ke fasilitas pelayanan\nkesehatan paling sedikit 6 kali.\n- Makan dengan porsi lebih banyak atau lebih\nsering daripada sebelum hamil, dan cukup\nminum (lihat halaman 6, 16 & 38).\n- Batasi konsum', 'Kehamilan - Trimester 1\n                Kategori: kehamilan\n                Sub: kehamilan_trimester_1\n                Isi: Kunjungan antenatal bisa lebih dari 6 (enam) kali sesuai kebutuhan dan jika ada\nkeluhan, penyakit atau gangguan kehamilan. Jika kehamilan sudah mencapai 40\nminggu, maka harus dirujuk untuk diputuskan terminasi kehamilannya.\nPemeriksaan dokter pada ibu hamil dilakukan saat :\nKunjungan 1 di trimester', 'Menyusui - Pengertian\n                Kategori: menyusui\n                Sub: menyusui_pengertian\n                Isi: YANG HARUS DILAKUKAN\n- Ibu dan bayi periksa ke fasilitas pelayanan\nkesehatan setidaknya 4 kali, yaitu\n- 1 kali pada 6 – 48 jam\n- 1 kali pada 3 – 7 hari\n- 1 kali pada 8 – 28 hari\n- 1 kali untuk ibu saja pada 29 – 42 hari\n- Konsumsi Tablet Tambah Darah (TTD) untuk\nmencegah kekurangan darah (anemia).']","Berdasarkan informasi sumber yang tersedia, jika ibu terlambat datang bulan 1 minggu, **segera periksa ke fasilitas pelayanan kesehatan**.","Segera periksa ke fasilitas pelayanan kesehatan, jika terlambat datang bulan 1 minggu.",1.0,0.9896409843225901,1.0,0.8333333332916666
Berapa kali minimal ibu hamil harus periksa kehamilan ke dokter pada trimester 1?,"['Kehamilan - Trimester 1\n                Kategori: kehamilan\n                Sub: kehamilan_trimester_1\n                Isi: [HALAMAN 19]\n11\nKEMENTERIAN KESEHATAN RI | 2020\n2. Layanan ANC oleh dokter umum\nIbu hamil minimal 2x diperiksa oleh dokter, 1x pada trimester1 dan 1x pada\ntrimester 3 (kunjungan antenatal ke 5).\n-\nKunjungan pada trimester 1\nPemeriksaan dokter pada kontak pertama ibu hamil di trimester 1 bertujuan\nun', 'Kehamilan - Trimester 1\n                Kategori: kehamilan\n                Sub: kehamilan_trimester_1\n                Isi: 1.\nMelakukan pemeriksaan kehamilan atau antenatal\ncare (ANC)\nPemeriksaan\nkehamilan\ndilakukan\nminimal\nsebanyak 6 kali selama hamil di fasilitas kesehatan\nterdekat, dengan rincian 2 kali pada trimester 1,\nsalah satunya oleh dokter dengan USG untuk\nscreening faktor risiko kehamilan, 1 kali pada\ntrimest', 'Kehamilan - Trimester 1\n                Kategori: kehamilan\n                Sub: kehamilan_trimester_1\n                Isi: Kunjungan antenatal bisa lebih dari 6 (enam) kali sesuai kebutuhan dan jika ada\nkeluhan, penyakit atau gangguan kehamilan. Jika kehamilan sudah mencapai 40\nminggu, maka harus dirujuk untuk diputuskan terminasi kehamilannya.\nPemeriksaan dokter pada ibu hamil dilakukan saat :\nKunjungan 1 di trimester']","Berdasarkan informasi sumber di atas, ibu hamil minimal harus diperiksa kehamilan oleh dokter sebanyak **2 kali pada trimester 1**.

(Informasi tersebut menyebutkan: ""Pemeriksaan kehamilan dilakukan minimal sebanyak 6 kali selama hamil di fasilitas kesehatan terdekat, dengan rincian 2 kali pada trimester 1, salah satunya oleh dokter dengan USG untuk screening faktor risiko kehamilan..."")","Periksa kehamilan ke dokter paling sedikit satu kali, termasuk USG dan laboratorium lengkap.",1.0,0.9904971322111318,1.0,0.99999999995
Sebaiknya kapan waktu minum Tablet Tambah Darah (TTD)/MMS?,"['Kehamilan - Nutrisi\n                Kategori: kehamilan\n                Sub: kehamilan_nutrisi\n                Isi: eriksaan presentasi bayi dan denyut\njantung bayi\nTujuannya untuk melihat kelainan letak bayi\natau masalah lain\n□ Beri tablet tambah darah (TTD) atau suplemen\nkesehatan multivitamin dan mineral untuk ibu\nhamil (MMS) setiap hari selama kehamilan\nPeriksa kandungan TTD dan MMS sedikitnya\nberisi 30 - 60', 'Kehamilan - Tanda Bahaya\n                Kategori: kehamilan\n                Sub: kehamilan_tanda_bahaya\n                Isi: selama kehamilan. Sebaiknya pada malam hari sebelum tidur untuk\nmengurangi rasa mual. Agar zat besi diserap lebih baik dalam tubuh, TTD/MMS sebaiknya dikonsumsi bersama makanan atau minuman yang\nmengandung vitamin C seperti buah-buahan. Hindari minum TTD/MMS bersama teh, kopi, susu dan obat maag ya', 'Kesehatan Mental - Ibu Hamil\n                Kategori: kesehatan_mental\n                Sub: mental_ibu_hamil\n                Isi: NSEP DASAR\n1. Pengertian\na. Tablet Tambah Darah (TTD)\nTablet tambah darah adalah suplemen gizi yang mengandung\nsenyawa zat besi yang setara dengan 60 mg besi elemental dan']","Berdasarkan informasi sumber di atas, sebaiknya TTD/MMS dikonsumsi pada malam hari sebelum tidur untuk mengurangi rasa mual.

Selain itu, untuk penyerapan zat besi yang lebih baik, TTD/MMS sebaiknya dikonsumsi bersama makanan atau minuman yang mengandung vitamin C (seperti buah-buahan). Hindari minum TTD/MMS bersama teh, kopi, susu, dan obat maag.",Sebaiknya pada malam hari sebelum tidur untuk mengurangi rasa mual.,1.0,0.7363626510800398,1.0,0.49999999995
Apa yang harus dilakukan jika ibu hamil mengalami tanda bahaya pada masa kehamilan?,"['Kehamilan - Tanda Bahaya\n                Kategori: kehamilan\n                Sub: kehamilan_tanda_bahaya\n                Isi: tanda bahaya pada masa kehamilan, segera bawa\nibu hamil periksa ke Puskesmas/Rumah Sakit.\nMasalah Lain Pada Kehamilan\nDemam, menggigil dan berkeringat. Bila ibu berada di daerah\nendemis malaria, menunjukkan adanya gejala\npenyakit malaria.\nBatuk lama (lebih dari 2 minggu).\nSulit tidur dan cemas berle', 'Kehamilan - Tanda Bahaya\n                Kategori: kehamilan\n                Sub: kehamilan_tanda_bahaya\n                Isi: ibu hamil periksa ke Puskesmas/Rumah Sakit.\nPusing/sakit kepala berat.\nSakit saat kencing atau keluar\nkeputihan atau gatal di daerah\nkemaluan\nPerdarahan.\nNyeri perut hebat.\nPandangan kabur.\nPerdarahan atau keluar cairan dari\njalan lahir yang sangat banyak atau\nberbau.\nNapas pendek dan jantung berdeb', 'Kehamilan - Tanda Bahaya\n                Kategori: kehamilan\n                Sub: kehamilan_tanda_bahaya\n                Isi: Tanda bahaya lain (sesak,\nperdarahan)\n√\n√\n√\n√\n√\n√\n- Napas sesak saat aktivitas\nringan atau duduk\n- Perdarahan pervaginam\nselama kehamilan\nTABEL 8. DAFTAR TILIK PEMERIKSAAN KHUSUS OBSTETRIK-GINEKOLOGIS\nPEMERIKSAAN OBSTETRIK\nKontak ke\nK1\nK2\nK3\nK4\nK5\nK6\nIndikasi Merujuk ke Dokter\nUsia gestasi (minggu)']","Jika ibu hamil mengalami tanda bahaya pada masa kehamilan, segera bawa ibu hamil periksa ke Puskesmas/Rumah Sakit.","Jika mengalami tanda bahaya pada masa kehamilan, segera bawa ibu hamil periksa ke Puskesmas/Rumah Sakit.",1.0,0.9239535651108337,1.0,0.99999999995
Berapa lama waktu tidur malam dan tidur siang yang disarankan bagi ibu hamil?,"['Kehamilan - Aktivitas\n                Kategori: kehamilan\n                Sub: kehamilan_aktivitas\n                Isi: 6-7 jam, siang: tidur/berbaring 1-2 jam)\n- Tidur miring ke kiri\n- Boleh melakukan aktivitas sehari-hari, hindari kerja berat\n- Boleh melakukan hubungan suami istri selama tidak ada keluhan\n√\n√\n√\n√\n√\n√\nPerilaku hidup bersih dan sehat\n- Jaga kebersihan badan\n- Mandi 2 kali sehari menggunakan sabun\n-', 'Kehamilan - Aktivitas\n                Kategori: kehamilan\n                Sub: kehamilan_aktivitas\n                Isi: inggu sekali dan mencatatnya di\nBuku KIA.\n12. Cukup istirahat (istirahat lebih banyak pada trimester\nterakhir)\nIstirahat malam yang cukup selama 6-7 jam\ndengan kualitas yang baik dan tidak terputus, serta\ntidur siang selama 1-2 jam dibutuhkan untuk proses\npertumbuhan janin dan sistem imun yang optim', 'Kehamilan - Umum\n                Kategori: kehamilan\n                Sub: kehamilan_umum\n                Isi: kemampuan berpikir.\n- Bayi usia 4-12 bulan perlu tidur 12-16 jam\nsehari (termasuk tidur siang).\n- Bayi/Anak berusia <18 bulan tidak\nmenggunakan gawai kecuali dalam bentuk\nvideo-chatting (video-call) dengan\ndidampingi orang tua.\n- Penggunaan gawai berlebih berdampak\nketerlambatan bicara dan bahasa, k']","Berdasarkan informasi sumber yang tersedia, waktu tidur yang disarankan bagi ibu hamil adalah:

*   **Istirahat malam:** 6-7 jam dengan kualitas yang baik dan tidak terputus.
*   **Tidur siang:** 1-2 jam.",Istirahat cukup dengan tidur malam paling sedikit 6-7 jam dan tidur siang selama 1-2 jam.,1.0,0.8735790581415243,1.0,0.99999999995
Mengapa ibu hamil tidak boleh tidur telentang lebih dari 10 menit pada trimester 2 & 3?,"['Kehamilan - Trimester 1\n                Kategori: kehamilan\n                Sub: kehamilan_trimester_1\n                Isi: Tidak Boleh Dilakukan Ibu Selama Kehamilan\nTidur telentang lebih dari 10 menit pada\ntrimester 2 & 3, untuk menghindari\nkekurangan oksigen pada bayi.\nMerokok atau terpapar asap rokok.\nMinum obat tanpa resep dokter.\nStres berlebihan.\nMinum minuman beralkohol\ndan jamu.\nAktivitas berat yang membuat\nibu', 'Kehamilan - Umum\n                Kategori: kehamilan\n                Sub: kehamilan_umum\n                Isi: roses\npertumbuhan janin dan sistem imun yang optimal.\nPada trimester akhir, hindari tidur dalam posisi\nterlentang lebih dari 10 menit, karena dapat menekan\npembuluh darah dan membahayakan janin karena\nkekurangan oksigen. Ibu disarankan untuk tidur\ndalam posisi menyamping dan mengganjal punggung\nsert', 'Kehamilan - Trimester 2\n                Kategori: kehamilan\n                Sub: kehamilan_trimester_2\n                Isi: , Stotland, & Stang, 2020)\nSelain berdasarkan IMT, status gizi Ibu Hamil juga\ndapat digambarkan melalui Lingkar Lengan Atas (LiLA).\nUkuran LiLA <23,5 cm mengindikasikan bahwa Ibu Hamil\nberisiko mengalami Kurang Energi Kronis (KEK) sehingga\nperlu mendapatkan perhatian terkait dengan asupan selama\nkeh']","Berdasarkan informasi sumber, ibu hamil tidak boleh tidur telentang lebih dari 10 menit pada trimester 2 & 3 untuk **menghindari kekurangan oksigen pada bayi**.

Selain itu, tidur dalam posisi terlentang lebih dari 10 menit pada trimester akhir dapat menekan pembuluh darah dan membahayakan janin karena kekurangan oksigen.",Untuk menghindari kekurangan oksigen pada bayi.,1.0,0.8032079527696475,1.0,0.99999999995
"Sebutkan kondisi-kondisi mingguan yang jika dialami ibu hamil, ia harus segera periksa ke Puskesmas/Rumah Sakit.","['Kehamilan - Trimester 1\n                Kategori: kehamilan\n                Sub: kehamilan_trimester_1\n                Isi: t.\nTRIMESTER 1\nTRIMESTER 2\n10\n11\nCek kondisi mingguan Ibu dan beri tanda () centang jika mengalami kondisi dalam di bawah ini,\nsegera periksa ke Puskesmas/Rumah Sakit.', 'Kehamilan - Trimester 1\n                Kategori: kehamilan\n                Sub: kehamilan_trimester_1\n                Isi: Pusing/sakit\nkepala berat\nSulit tidur/\ncemas berlebih\nLembar Pemantauan Ibu Hamil(Diisi oleh ibu)\nBeri tanda () centang setiap periksa ke dokter dan cek kondisi mingguan Ibu. Jika mengalami kondisi di\nbawah ini, segera periksa ke Puskesmas/Rumah Sakit.\nTRIMESTER 1\nTRIMESTER 2\n10\n11\nCek kondisi mingg', 'Kehamilan - Umum\n                Kategori: kehamilan\n                Sub: kehamilan_umum\n                Isi: tang jika mengalami kondisi dalam kotak-kotak di bawah ini. Segera ke Puskesmas untuk periksa.']","Berdasarkan informasi sumber di atas, kondisi-kondisi mingguan yang jika dialami ibu hamil harus segera diperiksa ke Puskesmas/Rumah Sakit adalah:

1. Pusing/sakit kepala berat
2. Sulit tidur/cemas berlebih","Demam lebih dari 2 hari, Pusing/sakit kepala berat, Sulit tidur/cemas berlebih, Risiko TB Batuk lebih dari 2 minggu atau kontak serumah dengan penderita TB, Gerakan bayi Tidak ada atau Kurang dari 10x dalam 12 jam setelah minggu ke-24, Nyeri perut hebat, Keluar cairan dari jalan lahir Sangat banyak atau berbau, Sakit saat kencing Atau keluar keputihan atau gatal di daerah kemaluan, Diare berulang.",1.0,0.7361654990916882,0.3333333333333333,0.0
