question,ground_truth
Berapa kali minimal ibu hamil harus periksa kehamilan?,Periksa paling sedikit 6 kali oleh dokter atau bidan.
Berapa kisaran kenaikan berat badan ibu selama masa kehamilan 9 bulan?,Ibu akan naik berat badannya sebanyak 5 – 18 kg sesuai dengan status gizi ibu sebelum hamil.
Apa yang dimaksud dengan 1000 Hari Pertama Kehidupan (1000 HPK)?,"Seribu hari pertama kehidupan (1000 HPK) adalah masa paling penting dalam pertumbuhan dan perkembangan anak. Masa ini terdiri dari 270 hari selama bayi berada dalam kandungan ibu, dan 730 hari atau dua tahun pertama kehidupan anak setelah dilahirkan."
Berapa persen perkembangan otak anak saat lahir?,25% Saat Lahir.
Apa yang harus dilakukan jika ibu terlambat datang bulan 1 minggu?,"Segera periksa ke fasilitas pelayanan kesehatan, jika terlambat datang bulan 1 minggu."
Berapa kali minimal ibu hamil harus periksa kehamilan ke dokter pada trimester 1?,"Periksa kehamilan ke dokter paling sedikit satu kali, termasuk USG dan laboratorium lengkap."
Sebaiknya kapan waktu minum Tablet Tambah Darah (TTD)/MMS?,Sebaiknya pada malam hari sebelum tidur untuk mengurangi rasa mual.
Apa yang harus dilakukan jika ibu hamil mengalami tanda bahaya pada masa kehamilan?,"Jika mengalami tanda bahaya pada masa kehamilan, segera bawa ibu hamil periksa ke Puskesmas/Rumah Sakit."
Berapa lama waktu tidur malam dan tidur siang yang disarankan bagi ibu hamil?,Istirahat cukup dengan tidur malam paling sedikit 6-7 jam dan tidur siang selama 1-2 jam.
Mengapa ibu hamil tidak boleh tidur telentang lebih dari 10 menit pada trimester 2 & 3?,Untuk menghindari kekurangan oksigen pada bayi.
"Sebutkan kondisi-kondisi mingguan yang jika dialami ibu hamil, ia harus segera periksa ke Puskesmas/Rumah Sakit.","Demam lebih dari 2 hari, Pusing/sakit kepala berat, Sulit tidur/cemas berlebih, Risiko TB Batuk lebih dari 2 minggu atau kontak serumah dengan penderita TB, Gerakan bayi Tidak ada atau Kurang dari 10x dalam 12 jam setelah minggu ke-24, Nyeri perut hebat, Keluar cairan dari jalan lahir Sangat banyak atau berbau, Sakit saat kencing Atau keluar keputihan atau gatal di daerah kemaluan, Diare berulang."
Sebutkan gejala-gejala yang menandakan gangguan kesehatan jiwa pada ibu hamil.,"Ketegangan mental, berupa kecemasan dan rasa khawatir yang berlebihan. Ketegangan fisik seperti gelisah, gemetar, tidak dapat rileks, ketegangan otot, dan sakit kepala. Berdebar, berkeringat, sesak napas, kepala terasa ringan, serta keluhan tidak nyaman di perut bagian atas sekitar ulu hati. Merasa lelah berkepanjangan, tapi sulit untuk tidur. Mudah tersinggung dan marah. Mengalami perubahan hubungan dengan suami."
Apa yang harus dilakukan untuk menjaga kesehatan jiwa Ibu selama kehamilan?,"Tidur cukup. Makan makanan bergizi. Pergi ke Puskesmas atau fasilitas pelayanan kesehatan untuk melakukan pemeriksaan masalah kesehatan jiwa. Suami atau keluarga mendampingi, serta memberi perhatian dan bantuan yang dibutuhkan Ibu."
Apa manfaat yang bisa didapatkan ibu dengan mengikuti kelas ibu hamil?,"Dengan mengikuti kelas ibu hamil, ibu bisa mempersiapkan tubuh dan mental untuk kelancaran proses melahirkan. Selain itu juga mendapatkan dukungan dari ibu-ibu lain, serta memperoleh informasi tentang kehamilan, proses melahirkan, perawatan masa nifas, perawatan bayi baru lahir, kebutuhan dan pemenuhan gizi serta pelayanan kesehatan yang diterima."
Apa saja yang harus dilakukan ibu hamil pada usia kehamilan 4-6 bulan (Trimester 2)?,"Periksa kehamilan ke dokter atau bidan paling sedikit dua kali. Pantau gerak bayi. Makan dengan porsi lebih kecil tapi sering, yang terbagi dalam 3 kali makanan utama ditambah dengan 1-2 kali makanan kudapan dalam sehari (lihat tabel porsi makan dan minum Ibu Hamil di bawah). Minum Tablet Tambah Darah (TTD)/Multivitamin setiap hari selama kehamilan. Kenali dan cek tanda bahaya (lihat halaman 17). Jika mengalami tanda bahaya, segera pergi ke fasilitas pelayanan kesehatan. Mulai merencanakan proses melahirkan atau kelahiran melalui diskusi dengan tenaga kesehatan."
Sebutkan tanda bahaya pada Trimester 2 yang mengharuskan ibu hamil segera dibawa periksa ke Puskesmas/Rumah Sakit.,Demam Tinggi. Muntah darah. Napas pendek dan jantung berdebar kencang. Nyeri perut hebat. Pandangan kabur. Perdarahan. Perdarahan atau keluar cairan dari jalan lahir yang sangat banyak atau berbau. Pusing/sakit kepala berat. Sakit saat kencing atau keluar keputihan atau gatal di daerah kemaluan.
Apa dampak gejolak emosi yang dialami ibu selama kehamilan terhadap ibu dan bayi?,"Selama kehamilan Ibu dapat mengalami berbagai gejolak emosi, seperti mudah sedih, mudah marah, stres, cemas, dan depresi. Hal ini akan mempengaruhi kesehatan fisik dan emosi ibu hamil, serta perkembangan bayi dalam kandungannya."
Mengapa kesehatan jiwa yang baik selama kehamilan itu penting?,"Kesehatan jiwa yang baik selama kehamilan adalah kunci untuk proses melahirkan yang sehat, dan awal yang baik bagi kesehatan fisik maupun mental ibu dan bayi."
